month,gcc_name_2021,dwelling_type,average_rent,median_rent,rent_25pc,rent_75pc
Mar 2018,Greater Sydney,O,453.0064829821718,410,350,550
Mar 2018,Greater Sydney,T,639.0634802091113,560,450,750
Mar 2018,Greater Sydney,U,572.7134724857685,530,430,650
Mar 2018,Rest of NSW,F,304.4604349838038,285,220,360
Mar 2018,Rest of NSW,H,394.46582691859106,380,300,460
Mar 2018,Rest of NSW,O,278.7828947368421,275,190,350
Mar 2018,Rest of NSW,T,402.19590643274853,385,325,465
Mar 2018,Rest of NSW,U,348.82936507936506,320,250,400
Apr 2018,Greater Sydney,F,581.2209957197567,540,440,660
Apr 2018,Greater Sydney,H,637.643216080402,550,450,700
Apr 2018,Greater Sydney,O,407.72451193058566,364,320,450
Apr 2018,Greater Sydney,T,645.9423076923077,567.5,450,750
Apr 2018,Greater Sydney,U,548.6580796252928,500,409.5,605
Apr 2018,Rest of NSW,F,310.394288852279,290,220,360
Apr 2018,Rest of NSW,H,393.2125326370757,380,300,450
Apr 2018,Rest of NSW,O,268.37579617834393,242,160,370
Apr 2018,Rest of NSW,T,401.26003490401393,395,330,460
Apr 2018,Rest of NSW,U,334.82901554404145,330,250,400
May 2018,Greater Sydney,F,575.0370334084452,540,440,650
May 2018,Greater Sydney,H,631.8836277545074,550,440,700
May 2018,Greater Sydney,O,408.78299776286354,380,335,469
May 2018,Greater Sydney,T,633.8299776286353,560,450,750
May 2018,Greater Sydney,U,549.429889298893,487.5,400,600
May 2018,Rest of NSW,F,305.90669014084506,290,230,360
May 2018,Rest of NSW,H,393.15870603560575,375,300,450
May 2018,Rest of NSW,O,298,267.5,195,360
May 2018,Rest of NSW,T,412.023598820059,390,335,470
May 2018,Rest of NSW,U,349.0676691729323,320,250,400
Jun 2018,Greater Sydney,F,578.3832335329341,540,450,660
Jun 2018,Greater Sydney,H,623.4168997203356,540,440,700
Jun 2018,Greater Sydney,O,433.05013192612137,413,349.25,499
Jun 2018,Greater Sydney,T,618.6310289389068,560,440,720
Jun 2018,Greater Sydney,U,552.751756440281,500,400,620
Jun 2018,Rest of NSW,F,322.0731153496821,300,230,379.25
Jun 2018,Rest of NSW,H,398.2239523700481,380,307.5,455
Jun 2018,Rest of NSW,O,294.0986842105263,260,183.75,385
Jun 2018,Rest of NSW,T,421.0228310502283,400,350,470
Jun 2018,Rest of NSW,U,339.7564766839378,310,260,390
Jul 2018,Greater Sydney,F,577.8931783086565,540,450,670
Jul 2018,Greater Sydney,H,630.3014005602241,550,450,700
Jul 2018,Greater Sydney,O,433.48854961832063,400,335,500
Jul 2018,Greater Sydney,T,617.9825095057034,550,440,720
Jul 2018,Greater Sydney,U,561.9839357429719,500,420,646
Jul 2018,Rest of NSW,F,307.97292250233426,290,230,360
Jul 2018,Rest of NSW,H,397.9054905490549,380,310,460
Jul 2018,Rest of NSW,O,333.9641255605381,330,224.5,402.5
Jul 2018,Rest of NSW,T,416.0116788321168,400,349,470
Jul 2018,Rest of NSW,U,344.869109947644,320,250,400
Aug 2018,Greater Sydney,F,579.0362282463186,545,445,660
Aug 2018,Greater Sydney,H,633.1862348178138,550,450,700
Aug 2018,Greater Sydney,O,431.4925373134328,400,345,550
Aug 2018,Greater Sydney,T,614.2761970853574,556,440,710
Aug 2018,Greater Sydney,U,540.6603773584906,490,400,620
Aug 2018,Rest of NSW,F,306.5311167945439,295,230,355
Aug 2018,Rest of NSW,H,400.2162103901703,380,310,460
Aug 2018,Rest of NSW,O,314.096256684492,290,195,390
Aug 2018,Rest of NSW,T,415.7893982808023,400,340,480
Aug 2018,Rest of NSW,U,332.1913875598086,300,250,390
Sep 2018,Greater Sydney,F,574.12167482954,540,440,650
Sep 2018,Greater Sydney,H,626.8843072112566,540,450,700
Sep 2018,Greater Sydney,O,452.3769363166954,432,330,590
Sep 2018,Greater Sydney,T,635.9624796084829,560,450,730
Sep 2018,Greater Sydney,U,555.2439024390244,500,405.5,640
Sep 2018,Rest of NSW,F,306.7707039337474,300,230,360
Sep 2018,Rest of NSW,H,402.30849706557797,385,320,460
Sep 2018,Rest of NSW,O,297.5149700598802,300,185,390
Sep 2018,Rest of NSW,T,416.65163297045103,400,340,470
Sep 2018,Rest of NSW,U,337.3764705882353,330,260,393.75
Oct 2018,Greater Sydney,F,575.6265253406965,540,440,650
Oct 2018,Greater Sydney,H,634.8276981852913,550,440,700
Oct 2018,Greater Sydney,O,421.02643856920685,390,320,497
Oct 2018,Greater Sydney,T,640.866568914956,560,450,750
Oct 2018,Greater Sydney,U,533.315668202765,497,400,600
Oct 2018,Rest of NSW,F,309.96559428060766,290,230,370
Oct 2018,Rest of NSW,H,401.6181229773463,385,315,460
Oct 2018,Rest of NSW,O,309.6788321167883,280,190,370
Oct 2018,Rest of NSW,T,418.414373088685,400,350,470
Oct 2018,Rest of NSW,U,326.221198156682,310,250,390
Nov 2018,Greater Sydney,F,572.8709798055348,530,430,650
Nov 2018,Greater Sydney,H,634.3835768448308,550,440,700
Nov 2018,Greater Sydney,O,431.27886056971516,425,354,499
Nov 2018,Greater Sydney,T,621.419941775837,550,440,700
Nov 2018,Greater Sydney,U,515.2535787321063,485,390,590
Nov 2018,Rest of NSW,F,310.5134357005758,290,230,360
Nov 2018,Rest of NSW,H,404.2089909134385,390,320,470
Nov 2018,Rest of NSW,O,306.4367088607595,300,220,380
Nov 2018,Rest of NSW,T,429.3372956909361,410,350,480
Nov 2018,Rest of NSW,U,349.468085106383,340,270,400
Dec 2018,Greater Sydney,F,551.5424370202184,520,420,635
Dec 2018,Greater Sydney,H,637.0467044076021,550,440,695
Dec 2018,Greater Sydney,O,426.64942528735634,409,350,489
Dec 2018,Greater Sydney,T,618.1928,550,447.75,698.75
Dec 2018,Greater Sydney,U,520.0177215189873,480,400,600
Dec 2018,Rest of NSW,F,308.8570675105485,290,225,368.25
Dec 2018,Rest of NSW,H,405.8127819548872,390,320,460
Dec 2018,Rest of NSW,O,302.53435114503816,280,185,390
Dec 2018,Rest of NSW,T,421.2202486678508,400,340,500
Dec 2018,Rest of NSW,U,352.6645161290323,350,287.5,420
Jan 2019,Greater Sydney,F,572.6921897546897,534.5,440,650
Jan 2019,Greater Sydney,H,644.1482912937347,550,450,716.25
Jan 2019,Greater Sydney,O,422.64814814814815,400,345,500
Jan 2019,Greater Sydney,T,640.3807599029911,560,450,750
Jan 2019,Greater Sydney,U,519.5215946843854,460,395,575
Jan 2019,Rest of NSW,F,323.4513447432763,300,245,380
Jan 2019,Rest of NSW,H,410.1822222222222,390,320,480
Jan 2019,Rest of NSW,O,305.56028368794324,300,190,395
Jan 2019,Rest of NSW,T,424.4794303797468,412.5,350,485
Jan 2019,Rest of NSW,U,296.17391304347825,280,174,375
Feb 2019,Greater Sydney,F,582.1310554645448,545,450,670
Feb 2019,Greater Sydney,H,645.3644225877565,550,445,720
Feb 2019,Greater Sydney,O,461.0106485963214,450,369,567
Feb 2019,Greater Sydney,T,640.9807005003574,580,450,750
Feb 2019,Greater Sydney,U,558.6825775656324,500,417,628
Feb 2019,Rest of NSW,F,316.18051689860835,300,230,375
Feb 2019,Rest of NSW,H,409.89626467449307,390,320,475
Feb 2019,Rest of NSW,O,290.74058577405856,245,182.5,362.5
Feb 2019,Rest of NSW,T,423.5201072386059,400,350,480
Feb 2019,Rest of NSW,U,308.1336032388664,280,195,382.5
Mar 2019,Greater Sydney,F,575.5013516834603,535,430,660
Mar 2019,Greater Sydney,H,628.5774199256768,550,440,700
Mar 2019,Greater Sydney,O,427.4639344262295,405,330,510
Mar 2019,Greater Sydney,T,632.6671408250355,560,430,750
Mar 2019,Greater Sydney,U,550.6818181818181,500,400,630
Mar 2019,Rest of NSW,F,321.2514619883041,300,240,380
Mar 2019,Rest of NSW,H,407.1649508121711,390,320,470
Mar 2019,Rest of NSW,O,294.05102040816325,270,190,380
Mar 2019,Rest of NSW,T,423.6755485893417,400,350,490
Mar 2019,Rest of NSW,U,327.12631578947367,320,230,390
Apr 2019,Greater Sydney,F,566.5455932850057,525,429,650
Apr 2019,Greater Sydney,H,623.506512839598,540,430,700
Apr 2019,Greater Sydney,O,436.64464285714286,400,330,547.5
Apr 2019,Greater Sydney,T,610.1841692789968,550,430,700
Apr 2019,Greater Sydney,U,542.370786516854,490,400,620
Apr 2019,Rest of NSW,F,321.3263853584138,300,240,375
Apr 2019,Rest of NSW,H,411.4357786985133,390,320,475
Apr 2019,Rest of NSW,O,287.1036585365854,265,183.75,380
Apr 2019,Rest of NSW,T,422.3428120063191,405,345,475
Apr 2019,Rest of NSW,U,328.5693069306931,300,240,380
May 2019,Greater Sydney,F,567.5715706664255,520,430,650
May 2019,Greater Sydney,H,615.1633768064858,530,430,680
May 2019,Greater Sydney,O,414.7699805068226,390,310,495
May 2019,Greater Sydney,T,618.0845503458878,550,430,725
May 2019,Greater Sydney,U,545.3562945368171,500,400,620
May 2019,Rest of NSW,F,313.30283911671927,295,230,360
May 2019,Rest of NSW,H,411.33392658509456,390,320,470
May 2019,Rest of NSW,O,284.75714285714287,265,195,371.25
May 2019,Rest of NSW,T,426.3105497771174,410,350,480
May 2019,Rest of NSW,U,314.16847826086956,310,228.75,400
Jun 2019,Greater Sydney,F,568.9119120102131,520,420,650
Jun 2019,Greater Sydney,H,615.2805528134255,530,430,680
Jun 2019,Greater Sydney,O,425.58588548601864,390,345,505
Jun 2019,Greater Sydney,T,605.3932676518883,550,440,700
Jun 2019,Greater Sydney,U,533.787610619469,480,380,580
Jun 2019,Rest of NSW,F,322.5380237972064,300,230,374
Jun 2019,Rest of NSW,H,408.85657071339176,390,320,470
Jun 2019,Rest of NSW,O,293.19745222929936,280,195,370
Jun 2019,Rest of NSW,T,429.20825852782764,400,330,475
Jun 2019,Rest of NSW,U,336.79234972677597,323,250,390
Jul 2019,Greater Sydney,F,566.9080029308801,525,425,650
Jul 2019,Greater Sydney,H,617.2654208698528,530,440,680
Jul 2019,Greater Sydney,O,457.8384845463609,459,369,538.5
Jul 2019,Greater Sydney,T,619.7564285714286,550,450,710
Jul 2019,Greater Sydney,U,501.48997772828506,465,390,580
Jul 2019,Rest of NSW,F,318.8678213309025,300,240,370
Jul 2019,Rest of NSW,H,408.9699799866578,390,320,470
Jul 2019,Rest of NSW,O,298.4805825242718,260,180,400
Jul 2019,Rest of NSW,T,425.48265460030166,400,350,480
Jul 2019,Rest of NSW,U,337.90184049079755,325,250,400
Aug 2019,Greater Sydney,F,560.6226488118275,520,425,650
Aug 2019,Greater Sydney,H,614.2164440203562,530,430,680
Aug 2019,Greater Sydney,O,447.93198992443325,430,330,550
Aug 2019,Greater Sydney,T,622.5290006988121,560,440,700
Aug 2019,Greater Sydney,U,516.5075921908893,480,390,580
Aug 2019,Rest of NSW,F,317.8015838099428,300,240,370
Aug 2019,Rest of NSW,H,405.88478038815117,390,320,470
Aug 2019,Rest of NSW,O,291.714859437751,275,190,380
Aug 2019,Rest of NSW,T,420.0114613180516,400,350,480
Aug 2019,Rest of NSW,U,326.531914893617,310,250,400
Sep 2019,Greater Sydney,F,560.5287021630616,520,420,650
Sep 2019,Greater Sydney,H,619.619162502154,530,435,700
Sep 2019,Greater Sydney,O,428.5804416403785,399,320,505
Sep 2019,Greater Sydney,T,609.1652767247915,550,432.5,720
Sep 2019,Greater Sydney,U,514.1824644549763,470,380,607.5
Sep 2019,Rest of NSW,F,315.7115104419621,300,240,370
Sep 2019,Rest of NSW,H,412.1737229636447,395,320,470
